n,method,x,F_hat,Phi,F_minus_Phi
50000,RR,-2.26,0.0168,0.011910625418547066,0.004889374581452933
50000,RR,-2.25,0.0174,0.012224472655044696,0.005175527344955303
50000,RR,-2.24,0.0178,0.012545461435946563,0.005254538564053437
50000,RR,-2.23,0.0182,0.012873721438602014,0.005326278561397987
50000,RR,-2.2199999999999998,0.0186,0.013209383807256284,0.005390616192743714
50000,RR,-2.21,0.0188,0.013552581146419983,0.005247418853580018
50000,RR,-2.2,0.0191,0.013903447513498595,0.0051965524865014035
50000,RR,-2.19,0.02,0.014262118410668878,0.005737881589331122
50000,RR,-2.1799999999999997,0.0205,0.014628730775989262,0.005871269224010739
50000,RR,-2.17,0.0215,0.015003422973732207,0.006496577026267792
50000,RR,-2.16,0.0218,0.015386334783925445,0.006413665216074555
50000,RR,-2.15,0.022,0.0157776073910905,0.006222392608909499
50000,RR,-2.14,0.0227,0.01617738337216608,0.006522616627833922
50000,RR,-2.13,0.0234,0.01658580668360501,0.00681419331639499
50000,RR,-2.12,0.0242,0.017003022647632787,0.007196977352367212
50000,RR,-2.11,0.0247,0.017429177937657088,0.007270822062342912
50000,RR,-2.1,0.0252,0.017864420562816542,0.007335579437183458
50000,RR,-2.09,0.0259,0.01830889985165897,0.00759110014834103
50000,RR,-2.08,0.0262,0.01876276643493775,0.007437233565062252
50000,RR,-2.07,0.027,0.019226172227517282,0.007773827772482717
50000,RR,-2.06,0.0276,0.019699270409376895,0.007900729590623105
50000,RR,-2.05,0.0277,0.020182215405704394,0.007517784594295605
50000,RR,-2.04,0.0283,0.020675162866070042,0.007624837133929956
50000,RR,-2.0300000000000002,0.029,0.02117826964267226,0.007821730357327743
50000,RR,-2.02,0.0295,0.02169169376764678,0.0078083062323532175
50000,RR,-2.01,0.0301,0.022215594429431475,0.007884405570568524
50000,RR,-2.0,0.0308,0.022750131948179195,0.008049868051820806
50000,RR,-1.99,0.0314,0.02329546775021182,0.008104532249788177
50000,RR,-1.98,0.0318,0.023851764341508513,0.007948235658491488
50000,RR,-1.97,0.0326,0.024419185280222543,0.008180814719777454
50000,RR,-1.96,0.0334,0.024997895148220435,0.008402104851779564
50000,RR,-1.95,0.0345,0.02558805952163861,0.008911940478361392
50000,RR,-1.94,0.0348,0.026189844940452685,0.008610155059547313
50000,RR,-1.93,0.0356,0.02680341887705495,0.008796581122945051
50000,RR,-1.92,0.0363,0.027428949703836802,0.008871050296163197
50000,RR,-1.91,0.037,0.0280666066597725,0.008933393340227497
50000,RR,-1.9,0.0377,0.028716559816001803,0.008983440183998194
50000,RR,-1.89,0.0387,0.02937898004040943,0.009321019959590567
50000,RR,-1.88,0.0393,0.03005403896119979,0.00924596103880021
50000,RR,-1.8699999999999999,0.0401,0.030741908929465968,0.009358091070534029
50000,RR,-1.8599999999999999,0.0408,0.031442762980752714,0.009357237019247289
50000,RR,-1.8499999999999999,0.0411,0.03215677479561371,0.008943225204386285
50000,RR,-1.84,0.0424,0.03288411865916389,0.009515881340836113
50000,RR,-1.83,0.043,0.0336249694196283,0.009375030580371695
50000,RR,-1.82,0.0438,0.03437950244588998,0.009420497554110022
50000,RR,-1.81,0.0442,0.03514789358403879,0.009052106415961214
50000,RR,-1.8,0.0452,0.03593031911292579,0.009269680887074208
50000,RR,-1.79,0.0462,0.03672695569872628,0.009473044301273721
50000,RR,-1.78,0.0473,0.03753798034851679,0.009762019651483211
50000,RR,-1.77,0.0477,0.03836357036287122,0.00933642963712878
50000,RR,-1.76,0.0488,0.03920390328748265,0.009596096712517356
50000,RR,-1.75,0.0499,0.040059156863817086,0.009840843136182914
50000,RR,-1.74,0.0507,0.040929508978807365,0.009770491021192637
50000,RR,-1.73,0.0514,0.04181513761359493,0.009584862386405074
50000,RR,-1.72,0.0522,0.04271622079132892,0.009483779208671085
50000,RR,-1.71,0.0533,0.0436329365240319,0.009667063475968102
50000,RR,-1.7,0.0543,0.04456546275854304,0.00973453724145696
50000,RR,-1.69,0.0553,0.045513977321549805,0.009786022678450197
50000,RR,-1.68,0.0562,0.046478657863720046,0.009721342136279953
50000,RR,-1.67,0.0569,0.04745968180294733,0.009440318197052669
50000,RR,-1.66,0.0577,0.04845722626672282,0.009242773733277178
50000,RR,-1.65,0.0591,0.0494714680336481,0.009628531966351897
50000,RR,-1.64,0.0608,0.05050258347410371,0.010297416525896289
