estimator,lam,eta,label,n_T,T_min,T_max,kappa_hat,rate_hat,C_hat_mse,r2_log_mse,theory_rate,rate_minus_theory,mean_abs_log_b_error,max_abs_log_b_error
OBM_RR,4.0,0.35,OBM-LW(lambda=4),5,10000,1000000,-0.04715236322711976,0.04715236322711976,0.5982083678000079,0.02341299945015929,0.65,-0.6028476367728802,0.025421341780731393,0.04556529984371811
OBM_RR,4.0,0.375,OBM-LW(lambda=4),5,10000,1000000,-0.36221850729391974,0.36221850729391974,16.347795101154833,0.7646582997171448,0.625,-0.26278149270608026,0.026249252344657005,0.0341192983723828
OBM_RR,4.0,0.4,OBM-LW(lambda=4),5,10000,1000000,-0.5148212034044635,0.5148212034044635,93.29480229512465,0.9774430928612047,0.6,-0.08517879659553651,0.04392993985798716,0.04654998906408755
OBM_RR,4.0,0.425,OBM-LW(lambda=4),5,10000,1000000,-0.57554525112585,0.57554525112585,237.3643907610242,0.9991882925308825,0.575,0.0005452511258500214,0.0020929930165455566,0.003338743717214201
OBM_RR,4.0,0.45,OBM-LW(lambda=4),5,10000,1000000,-0.5530853143941252,0.5530853143941252,255.25236329804304,0.9989175294055374,0.55,0.0030853143941251826,0.04006198512250968,0.05211653262233804
OBM_RR,4.0,0.475,OBM-LW(lambda=4),5,10000,1000000,-0.5318530021443222,0.5318530021443222,250.97263636670897,0.998816044894582,0.525,0.006853002144322162,0.029502236837321096,0.031489887307144734
OBM_RR,4.0,0.5,OBM-LW(lambda=4),5,10000,1000000,-0.5074119922122232,0.5074119922122232,265.63729342952365,0.9987279568728413,0.5,0.007411992212223217,0.012794954452205996,0.016857117066422806
OBM_RR,4.0,0.525,OBM-LW(lambda=4),5,10000,1000000,-0.47904595969790303,0.47904595969790303,265.043329184428,0.9981975967272997,0.475,0.0040459596979030565,0.05322725440863503,0.0653965056366573
OBM_RR,4.0,0.55,OBM-LW(lambda=4),5,10000,1000000,-0.4629200808680666,0.4629200808680666,272.91716620339565,0.9982951280621077,0.44999999999999996,0.012920080868066619,0.015840127633535837,0.017831054655788534
OBM_RR,4.0,0.575,OBM-LW(lambda=4),5,10000,1000000,-0.42858650503221296,0.42858650503221296,259.0147442911915,0.997254528049542,0.42500000000000004,0.0035865050322129166,0.02415220542851098,0.03027009845655459
OBM_RR,4.0,0.6,OBM-LW(lambda=4),5,10000,1000000,-0.40611986292378593,0.40611986292378593,250.72533961657038,0.9961733706503875,0.4,0.006119862923785913,0.044668158850598584,0.05262101206610732
OBM_RR,4.0,0.625,OBM-LW(lambda=4),5,10000,1000000,-0.37465014872779223,0.37465014872779223,245.34415563819837,0.9961628652706973,0.375,-0.00034985127220776846,0.004073881840997802,0.0045294286522725566
OBM_RR,4.0,0.65,OBM-LW(lambda=4),5,10000,1000000,-0.34299947025429145,0.34299947025429145,237.12518343266134,0.9985638827454772,0.35,-0.007000529745708528,0.0358541060526692,0.043687938216034866
OBM_RR,4.0,0.675,OBM-LW(lambda=4),5,10000,1000000,-0.3203473118125919,0.3203473118125919,224.47777751105576,0.9995264843262308,0.32499999999999996,-0.0046526881874080495,0.03304296266834683,0.039372642250456565
OBM_RR,4.0,0.7,OBM-LW(lambda=4),5,10000,1000000,-0.2859624665643954,0.2859624665643954,202.67460136677803,0.9991778104281305,0.30000000000000004,-0.014037533435604654,0.0069734567962783465,0.008736329256222843
OBM_RR,4.0,0.725,OBM-LW(lambda=4),5,10000,1000000,-0.24700087025132889,0.24700087025132889,171.51471523692965,0.9941708620443409,0.275,-0.027999129748671137,0.04714269987692232,0.05681638198348153
OBM_RR,4.0,0.75,OBM-LW(lambda=4),5,10000,1000000,-0.20970844427824534,0.20970844427824534,133.16825456195474,0.9790017616512335,0.25,-0.04029155572175466,0.022018816818475676,0.02623308781406487
