estimator,lam,T,b,mse_selected,bias,var,sigma_true,eta,target_b,eta_actual,log_b_error
OBM,0.0,30000,30,9.319334804275249,-3.0498314515469,0.0178778196135904,5.530043287007115,0.325,28.514411174206582,0.3299265690341803,0.05078776695276017
OBM,0.0,30000,36,7.624307736119644,-2.7567766718539146,0.024510543094278,5.530043287007115,0.35,36.89711749119786,0.3476123187699405,0.024614492769392045
OBM,0.0,30000,49,5.120117522632714,-2.253746858634953,0.0407766003260674,5.530043287007115,0.375,47.74418348819862,0.37751849544989513,0.02596305036901687
OBM,0.0,30000,59,3.890512437292912,-1.9585771169111488,0.0545335590374522,5.530043287007115,0.4,61.78008505674121,0.3955336277245918,0.0460436203519978
OBM,0.0,30000,80,2.3680685296972825,-1.5108038217380375,0.0856116849898462,5.530043287007115,0.425,79.94228052013091,0.4250700123401296,0.0007217539000573804
OBM,0.0,30000,107,1.440594111413974,-1.1458614087745709,0.1277021617632662,5.530043287007115,0.45,103.44382350541889,0.4532787168866349,0.03380013717197439
OBM,0.0,30000,130,1.050204339923088,-0.9415423032786584,0.1638389635294148,5.530043287007115,0.475,133.85438283469583,0.4721657583158762,0.02921806335045631
OBM,0.0,30000,175,0.7092611036322036,-0.6912219753620681,0.2316663396918397,5.530043287007115,0.5,173.20508075688772,0.5010000670233676,0.010309643601367893
OBM,0.0,30000,235,0.5753833329946348,-0.5088056991680467,0.3167640635417016,5.530043287007115,0.525,224.12415166897196,0.529596525841738,0.04738536730590521
OBM,0.0,30000,286,0.557734019617457,-0.4174969968170634,0.3837500689903483,5.530043287007115,0.55,290.0124819770266,0.5486485385088927,0.013932152534508618
OBM,0.0,30000,383,0.6115769536404025,-0.3216723044731626,0.5085276552213455,5.530043287007115,0.575,375.27075541015427,0.5769776217799514,0.020387209310178317
OBM,0.0,30000,466,0.690483437435827,-0.2796812619401718,0.6127724728827822,5.530043287007115,0.6,485.59337483020374,0.5960048354457808,0.04118596226092943
OBM,0.0,30000,626,0.8729747927652507,-0.2386590740054028,0.8166972201769489,5.530043287007115,0.625,628.3487915845369,0.6246367194684207,0.003745041802584352
OBM,0.0,30000,840,1.128319795158954,-0.2274158532574137,1.0774997412972371,5.530043287007115,0.65,813.0716446117171,0.6531606181045876,0.03258266241856901
OBM,0.0,30000,1021,1.3501203135539344,-0.23786136256484,1.294621136699982,5.530043287007115,0.675,1052.099579287026,0.6720894009548826,0.030005227770232235
OBM,0.0,30000,1370,1.8002751897069789,-0.2740748757166056,1.7265969830270942,5.530043287007115,0.7,1361.3972791592591,0.7006110374718485,0.006299156371166344
OBM,0.0,30000,1837,2.4290485324095035,-0.345011551099434,2.311942180501217,5.530043287007115,0.725,1761.6227476853735,0.72906427380426,0.041898406248013775
OBM,0.0,30000,2235,2.9660567174366403,-0.4179868578275538,2.7936717639233577,5.530043287007115,0.75,2279.5070569547775,0.7480872946957234,0.019717988435550022
OBM,0.0,100000,6,25.515633359176608,-5.051284077689019,0.0001626612130172,5.530043287007115,0.15,5.62341325190349,0.15563025007672873,0.06482064948252075
OBM,0.0,100000,8,24.0678132381185,-4.905866432151612,0.0002880280298688,5.530043287007115,0.175,7.498942093324557,0.18061799739838869,0.06467958531004617
OBM,0.0,100000,10,22.721950249183184,-4.766707742407461,0.0004479209233854,5.530043287007115,0.2,10.000000000000002,0.2,2.2204460492503136e-16
OBM,0.0,100000,13,20.87617472589915,-4.568963225053563,0.0007503993400831,5.530043287007115,0.225,13.335214321633241,0.22278867046136736,0.02545887215676478
OBM,0.0,100000,18,18.2012815076676,-4.266130673295954,0.0014117624997591,5.530043287007115,0.25,17.78279410038923,0.2510545010206612,0.012140391653607661
OBM,0.0,100000,23,15.946509568072972,-3.99302631205013,0.0022523162785403,5.530043287007115,0.275,23.71373705661656,0.27234556720351855,0.03056028693766334
